COD,CURSO,TIPO,SIST. EVAL.,HT,HP,HL,HS,CRED.,PRE-REQUISITO,CICLO
BAE01,ACTIVIDADES EXTRACURRICULARES,,,,,,,1,,1
BFI01,FISICA I,O,F,4,2,,6,5,NINGUNO,1
BIC01,INTRODUCCION A LA COMPUTACION,O,F,1,2,,3,2,NINGUNO,1
BMA01,CALCULO DIFERENCIAL,O,G,4,2,,6,5,NINGUNO,1
BMA03,ALGEBRA LINEAL,O,G,3,2,,5,4,NINGUNO,1
BRN01,"REALIDAD NACIONAL, CONSTITUCIÓN Y DERECHOS HUMANOS",O,D,2,2,,4,3,NINGUNO,1
EE250,DIBUJO TECNICO,O,D,2,,2,4,3,NINGUNO,1
BCR01,REDACCIÓN Y COMUNICACIÓN,O,D,1,2,,3,2,NINGUNO,2
BFI05,FUNDAMENTOS DE INGENIERÍA TÉRMICA Y DE FLUIDOS,O,F,3,2,,5,4,BFI01,2
BMA02,CÁLCULO INTEGRAL,O,G,4,2,,6,5,BMA01,2
BMA09,ALGORITMOS Y ESTRUCTURAS DE DATOS I,O,G,2,,2,4,3,BIC01,2
BQU01,QUÍMICA I,O,F,4,2,,6,5,NINGUNO,2
EE152,FUNDAMENTOS DE INGENIERIA DEL COMPUTADOR,O,D,1,,4,5,3,NINGUNO,2
BEG01,ECONOMIA GENERAL,O,F,2,2,,4,3,NINGUNO,3
BFI03,"FUNDAMENTOS DE ELECTRICIDAD, MAGNETISMO Y ÓPTICA",O,G,4,2,,6,5,"BMA02, BFI01",3
BMA05,ECUACIONES DIFERENCIALES,O,G,4,2,,6,5,BMA02,3
BMA10,PROBABILIDADES Y ESTADÍSTICA,O,G,2,2,,4,3,"BMA03, BMA01",3
BMA15,PROGRAMACIÓN ORIENTADA A OBJETOS,O,G,2,,2,4,3,BMA09,3
EE306,ELECTROTÉCNIA E INSTALACIÓN DE REDES,O,D,2,,2,4,3,"BFI05, EE250",3
BEF01,ÉTICA Y FILOSOFÍA POLÍTICA,O,D,2,,,2,2,NINGUNO,4
BFI06,INTRODUCCIÓN A LA FÍSICA MODERNA,O,F,3,2,,5,4,BFI03,4
BIE01,IDIOMA EXTRANJERO O LENGUA NATIVA EN EL NIVEL INTERMEDIO,O,D,,4,,4,2,,4
BMA07,CÁLCULO VECTORIAL,O,G,3,2,,5,4,BMA02,4
BMA18,MÉTODOS NUMÉRICOS,O,G,2,,2,4,3,"BMA09, BMA02",4
EE320,CIRCUITOS ELÉCTRICOS I,O,F,3,2,2,7,5,"BFI05, BMA03",4
EE410,ANÁLISIS DE SEÑALES Y SISTEMAS,O,G,3,2,,5,4,BMA05,4
EE418,DISPOSITIVOS Y CIRCUITOS ELECTRÓNICOS I,O,F,3,2,,5,4,"BFI06, EE320",5
EE420,CIRCUITOS ELÉCTRICOS II,O,F,3,2,2,7,5,EE320,5
EE428,LABORATORIO DE ELECTRÓNICA I,O,D,,,2,2,1,EE320,5
EE430,SISTEMAS DE COMUNICACIONES I,O,G,2,2,2,6,4,EE410,5
EE522,ELECTROMAGNETISMO I,O,F,3,2,,5,4,"BMA07, BFI03",5
EE647,SISTEMAS DE CONTROL I,O,G,3,2,,5,4,"EE410, BFI05",5
EE438,DISPOSITIVOS Y CIRCUITOS ELECTRÓNICOS II,O,F,3,2,,5,4,EE418,6
EE458,LABORATORIO DE ELECTRÓNICA II,O,D,,,2,2,1,"EE418, EE428",6
EE588,ELECTROMAGNETISMO II,O,F,3,2,,5,4,EE522,6
EE604,INTRODUCCIÓN A MICROCONTROLADORES,O,D,2,,2,4,3,"EE152, EE418",6
EE648,SISTEMAS DE CONTROL II,O,G,2,2,2,6,4,EE647,6
ELEC01,ELECTIVO,E,,,,,,4,,6
EE528,CONVERSIÓN DE ENERGÍA ELECTROMECÁNICA,O,G,2,2,2,6,4,"EE522, EE420",7
EE530,SISTEMAS DE COMUNICACIONES II,O,G,2,2,2,6,4,EE430,7
EE644,DISEÑO LÓGICO DIGITAL,O,G,2,2,2,6,4,"EE152, EE418",7
EE678,INSTRUMENTACIÓN Y CONTROL DE PROCESOS INDUSTRIALES,O,F,2,2,2,6,4,"EE418, EE647",7
ELEC02,ELECTIVO,E,,,,,,3,,7
ELEC03,ELECTIVO,E,,,,,,3,,7
BEG06,FORMULACION Y EVALUACIÓN DE PROYECTOS,O,F,2,2,,4,3,BEG01,8
EE468,ELECTRÓNICA DE RADIOCOMUNICACIONES,O,F,3,2,,5,4,"EE438, EE430",8
EE532,ELECTRÓNICA DE POTENCIA,O,F,3,2,2,7,5,"EE438, EE528",8
ELEC04,ELECTIVO,E,,,,,,3,,8
ELEC05,ELECTIVO,E,,,,,,3,,8
ELEC06,ELECTIVO,E,,,,,,3,,8
EE445,PROYECTO DE FIN DE CARRERA,O,A,2,4,,6,4,EE678,9
EE498,LABORATORIO DE RADIOCOMUNICACIONES,O,D,,,2,,1,EE468,9
ELEC07,ELECTIVO,E,,,,,,3,,9
ELEC08,ELECTIVO,E,,,,,,3,,9
ELEC09,ELECTIVO,E,,,,,,3,,9
ELEC10,ELECTIVO,E,,,,,,3,,9
EE446,PROYECTO DE TESIS,O,A,2,4,,6,4,EE445,10
ELEC11,ELECTIVO,E,,,,,,3,,10
ELEC12,ELECTIVO,E,,,,,,3,,10
ELEC13,ELECTIVO,E,,,,,,3,,10
AHD93,"LEGISLACIÓN INDUSTRIAL, LABORAL Y TRIBUTARIA",E,F,2,,,2,2,NINGUNO,11
BFM12,MECÁNICA DE SÓLIDOS,E,G,3,2,,5,4,"BMA07, BFI01",11
BFM16,TERMODINÁMICA Y MÁQUINAS TÉRMICAS,E,G,3,2,,5,4,BFI05,11
BFM22,DINÁMICA DE FLUIDOS Y TURBOMÁQUINAS,E,G,3,2,,5,4,"BFI05, BMA07",11
BMA20,ALGORITMOS Y ESTRUCTURAS DE DATOS II,E,D,2,,2,4,3,"BMA18, BMA09",11
BMA22,PROCESOS ESTOCÁSTICOS Y TEORÍA DE LA INFORMACIÓN,E,G,2,2,2,6,4,"BMA10, EE410",11
CI105,FORMULACION Y PROYECTOS DE INVERSION,E,B,2,,,2,2,BEG01,11
CI106,GESTIÓN DE PROYECTOS,E,B,2,,,2,2,BEG01,11
CIB02,INGENIERÍA DE SOFTWARE,E,D,2,,2,4,3,BMA15,11
CIB12,APRENDIZAJE DE MÁQUINA Y MINERÍA DE DATOS,E,D,2,,2,4,3,BMA15,11
CIB14,SISTEMAS OPERATIVOS,E,D,2,,2,4,3,EE681,11
CIB28,VISIÓN Y ANÁLISIS DE IMÁGENES POR COMPUTADOR,E,D,2,,2,4,3,CIB12,11
CIB32,PROCESAMIENTO DE IMÁGENES Y SEÑALES BIOMÉDICAS,E,D,2,,2,4,3,"CIB28, EE449",11
CIB38,TEORÍA DE AUTÓMATAS Y LENGUAJES FORMALES,E,D,2,,2,4,3,BMA20,11
CIB50,SISTEMAS DE INFORMACIÓN GERENCIAL,E,D,2,2,,4,3,"BMA20, CIB12",11
EE240,LABORATORIO DE MÁQUINAS ELÉCTRICAS,E,D,,,2,2,1,EE528,11
EE348,INSTALACIONES ELÉCTRICAS,E,I,3,2,,5,4,EE306,11
EE386,EVALUACIÓN DE PROYECTOS DE ING. ELÉCTRICA,E,D,2,2,,4,3,EE387,11
EE387,PLANEAMIENTO DE PROYECTOS DE ING. ELÉCTRICA,E,D,2,2,,4,3,BEG01,11
EE425,MICROELECTRONICA,E,I,3,2,,5,4,EE438 / EE644,11
EE449,INTRODUCCIÓN A LA INGENIERÍA BIOMÉDICA,E,D,2,2,,4,3,EE418,11
EE467,PROTOCOLOS DE ENRUTAMIENTO Y ARQUITECTURA DE REDES,E,G,2,,2,4,3,EE306,11
EE469,ARQUITECTURA DE CENTROS DE DATOS,E,D,2,,2,4,3,"EE306, EE467",11
EE479,INSTRUMENTACIÓN Y EQUIPOS BIOMÉDICOS,E,D,2,,2,4,3,"EE449, EE678",11
EE489,INSTALACIONES HOSPITALARIAS,E,D,2,,2,4,3,"EE306, EE479",11
EE508,INGENIERÍA DE AUDIO Y VIDEO,E,G,2,,2,4,3,"EE468, EE530",11
EE515,TELECOMUNICACIONES III,E,F,3,2,2,5,4,EE530,11
EE516,TELECOMUNICACIONES IV,E,D,2,2,,4,3,EE515,11
EE523,LÍNEAS DE TRANSMISIÓN,E,B,2,2,,4,3,EE588,11
EE524,PROPAGACIÓN Y RADIACIÓN ELECTROMAGNÉTICA II,E,G,3,2,,5,4,EE588,11
EE526,RADIOPROPAGACIÓN,E,G,3,,,3,3,EE588,11
EE534,ACCIONAMIENTOS ELÉCTRICOS,E,D,2,,2,4,3,EE532,11
EE590,COMUNICACIONES POR FIBRA ÓPTICA,E,F,2,2,2,6,4,"EE588, EE430",11
EE591,REDES INALÁMBRICAS Y MÓVILES,E,D,2,,2,4,3,"EE588, EE530",11
EE593,SISTEMAS DE RADIOCOMUNICACIÓN,E,F,3,2,,5,4,"EE430, EE588",11
EE594,ANTENAS,E,F,2,,2,4,3,EE588,11
EE596,SISTEMAS DE RADIODIFUSIÓN Y DE TELEVISIÓN POR CABLE,E,D,2,2,,4,3,"EE566, EE530",11
EE598,RADIODIFUSIÓN DE VIDEO Y AUDIO DIGITALES,E,F,2,2,,4,3,EE530,11
EE604,INTRODUCCIÓN A MICROCONTROLADORES,E,D,2,,2,4,3,"EE152, EE418",11
EE608,SISTEMAS DE COMUNICACIONES SATELITALES,E,D,2,2,,4,3,"EE592, EE520",11
EE610,ANÁLISIS DE SEÑALES Y DE SISTEMAS,E,G,2,,2,4,3,EE410,11
EE612,PROCESAMIENTO DIGITAL DE SEÑALES,E,G,2,,2,4,3,EE530,11
EE621,CONTROLES ELECTRICOS Y AUTOMATIZACION,E,D,3,,2,5,4,"EE298, EE647",11
EE625,CONTROL III,E,G,3,2,,5,4,EE648,11
EE641,LABORATORIO DE CONTROL,E,D,,,2,2,1,EE648,11
EE643,PRINCIPIOS DE DISEÑO DE COMPILADORES,E,D,2,,2,4,3,EE604,11
EE658,REDES DE AUTOMATIZACIÓN Y SUPERVISIÓN INDUSTRIALES,E,D,2,,2,4,3,"EE604, EE648",11
EE672,ROBÓTICA INDUSTRIAL,E,D,2,2,2,6,4,EE658,11
EE677,ROBÓTICA MÉDICA,E,D,2,2,,4,3,"EE672, EE449",11
EE681,ARQUITECTURA DE COMPUTADORES DE PROCESAMIENTO PARALELO,E,G,2,2,2,4,4,"EE604, EE644",11
EE689,ARQUITECTURA DE MICROCONTROLADORES AVANZADOS,E,D,2,,2,4,3,"EE604, EE644",11
EE693,SISTEMAS MICROELECTRÓNICOS INTEGRADOS,E,D,2,,2,4,3,"EE438, EE644",11
EE702,SEMINARIO DE TÓPICOS ESPECIALES,E,G,3,,,3,3,EE530,11
EE708,SISTEMAS DE CONMUTACIÓN DE TELECOMUNICACIONES,E,D,2,2,,4,3,EE530,11
EE718,SISTEMAS DE CONTROL AVANZADO,E,G,3,2,,5,4,"EE648, CIB12",11
EE734,GENERACIÓN ELÉCTRICA CON ENERGÍAS RENOVABLES,E,D,2,,2,4,3,"EE532, EE528",11
EE735,CONTROL PREDICTIVO BASADO EN MODELOS,E,F,2,,2,4,3,"EE648, CIB12",11
EE742,MODELADO Y CONTROL DE ROBOTS MÓVILES,E,F,2,2,,4,3,EE672,11
