CODIGO,CURSO,DEP,SECCION,TIPO,DIA,HORA,AULA,DOCENTE,CICLO
BFI01,FÍSICA I,CB,M,T,LU,10:00-12:00,,"HUALLPA GUTIERREZ, WALTER",1
BFI01,FÍSICA I,CB,M,T,MI,10:00-12:00,,"HUALLPA GUTIERREZ, WALTER",1
BFI01,FÍSICA I,CB,M,P,VI,08:00-10:00,,"HUALLPA GUTIERREZ, WALTER",1
BFI01,FÍSICA I,CB,M,L,JU,08:00-10:00,,"HUALLPA GUTIERREZ, WALTER",1
BFI01,FÍSICA I,CB,N,T,LU,10:00-12:00,,"LLAMOJA CURI, JOHNNY",1
BFI01,FÍSICA I,CB,N,T,MI,08:00-10:00,,"LLAMOJA CURI, JOHNNY",1
BFI01,FÍSICA I,CB,N,P,VI,08:00-10:00,,"LLAMOJA CURI, JOHNNY",1
BFI01,FÍSICA I,CB,N,L,MA,14:00-16:00,,"LLAMOJA CURI, JOHNNY",1
BFI01,FÍSICA I,CB,O,T,LU,08:00-10:00,,CARO AMERY. JOSE,1
BFI01,FÍSICA I,CB,O,T,LU,10:00-12:00,,CARO AMERY. JOSE,1
BFI01,FÍSICA I,CB,O,P,VI,08:00-10:00,,"DURAND BERNALD, LUIS",1
BFI01,FÍSICA I,CB,O,L,JU,14:00-16:00,,"DURAND BERNALD, LUIS",1
BIC01,INTRODUCCIÓN A LA COMPUTACIÓN,CB,M,T,LU,13:00-14:00,LIFIEE,"ROJAS VILLANUEVA, UWE",1
BIC01,INTRODUCCIÓN A LA COMPUTACIÓN,CB,M,P,LU,14:00-16:00,LIFIEE,"ROJAS VILLANUEVA, UWE",1
BIC01,INTRODUCCIÓN A LA COMPUTACIÓN,CB,N,T,SA,08:00-09:00,,NN,1
BIC01,INTRODUCCIÓN A LA COMPUTACIÓN,CB,N,P,SA,09:00-11:00,,NN,1
BIC01,INTRODUCCIÓN A LA COMPUTACIÓN,CB,O,T,MI,10:00-11:00,,NN,1
BIC01,INTRODUCCIÓN A LA COMPUTACIÓN,CB,O,P,MI,11:00-13:00,,NN,1
BMA01,CALCULO DIFERENCIAL,CB,M,T,LU,08.00-10.00,,"SAAL RIQUEROS, CESAR",1
BMA01,CALCULO DIFERENCIAL,CB,M,T,VI,10:00-12:00,,"SAAL RIQUEROS, CESAR",1
BMA01,CALCULO DIFERENCIAL,CB,M,P,MA,10:00-12:00,,"SAAL RIQUEROS, CESAR",1
BMA01,CALCULO DIFERENCIAL,CB,N,T,MI,14.00-16:00,,"ORIA CHAVARRIA, MARIO",1
BMA01,CALCULO DIFERENCIAL,CB,N,T,JU,08:00-10:00,,"ORIA CHAVARRIA, MARIO",1
BMA01,CALCULO DIFERENCIAL,CB,N,P,MA,10:00-12:00,,"ORIA CHAVARRIA, MARIO",1
BMA01,CALCULO DIFERENCIAL,CB,O,T,LU,14:00-16:00,,"CORNEJO HUAMAN, JORGE",1
BMA01,CALCULO DIFERENCIAL,CB,O,T,VI,10:00-12:00,,"CORNEJO HUAMAN, JORGE",1
BMA01,CALCULO DIFERENCIAL,CB,O,P,MA,10:00-12:00,,"CORNEJO HUAMAN, JORGE",1
BMA03,ALGEBRA LINEAL,CB,M,T,MA,14:00-17:00,,"SALINAS AQUIJE, TEOFILO",1
BMA03,ALGEBRA LINEAL,CB,M,P,JU,11:00-13:00,,"SALINAS AQUIJE, TEOFILO",1
BMA03,ALGEBRA LINEAL,CB,N,T,VI,10:00-13:00,,"ERQUIZIO ESPINAL, JOSE EDUARDO",1
BMA03,ALGEBRA LINEAL,CB,N,P,JU,11:00-13:00,,"ERQUIZIO ESPINAL, JOSE EDUARDO",1
BMA03,ALGEBRA LINEAL,CB,O,T,MA,14:00-17:00,,NN,1
BMA03,ALGEBRA LINEAL,CB,O,P,JU,11:00-13:00,,NN,1
BRN01,"REALIDAD NACIONAL, CONSTITUCIÓN Y DERECHOS HUMANOS",CB,M,T,LU,16:00-18:00,,"ARENALES SOLIS, JOSE CARLOS",1
BRN01,"REALIDAD NACIONAL, CONSTITUCIÓN Y DERECHOS HUMANOS",CB,M,P,JU,14:00-16:00,,"ARENALES SOLIS, JOSE CARLOS",1
BRN01,"REALIDAD NACIONAL, CONSTITUCIÓN Y DERECHOS HUMANOS",CB,N,T,MI,10:00-12:00,,"ARENALES SOLIS, JOSE CARLOS",1
BRN01,"REALIDAD NACIONAL, CONSTITUCIÓN Y DERECHOS HUMANOS",CB,N,P,VI,16:00-18:00,,"ARENALES SOLIS, JOSE CARLOS",1
